,h_geocode,w_geocode,total_jobs,origin_loc_lat,origin_loc_lon,dest_loc_lat,dest_loc_lon,pickup_time_0,pickup_time_0_secs,pickup_time_0_str,origin_geom,dest_geom,walk_time,drive_time,origin_lat,origin_lon,destination_lat,destination_lon,transit_time,transfers,trip1,trip2,trip3,trip4,trip5,trip6,route1,route2,route3,route4,route5,route6,mode,bus_capacity_upto_2hours,GEOID,median_income,margin,start_pickup_window,end_pickup_window,start_dropoff_window,end_dropoff_window
862,470650011001,470650113261,2.0,35.04257605514437,-85.27954973867064,35.005092471204016,-85.15333629931702,09:02:00,32520.0,09:02:00,POINT (-85.27954973867064 35.04257605514437),POINT (-85.15333629931702 35.005092471204016),11219.0,1636.0,35.04257605514437,-85.27954973867064,35.005092471204016,-85.15333629931702,6716.0,0.0,2058020.0,1823020.0,,,,,4,4,,,,,"['WALK', 'BUS', 'BUS', 'WALK']",105.0,470650011001,44223,12118,08:32:00,09:02:00,09:29:16,09:59:16
863,470650011001,470650113114,1.0,35.03922677768354,-85.2764136673872,35.06002917044736,-85.12024004807954,09:18:30,33510.0,09:18:30,POINT (-85.2764136673872 35.03922677768354),POINT (-85.12024004807954 35.06002917044736),13760.0,1619.0,35.03922677768354,-85.2764136673872,35.06002917044736,-85.12024004807954,6824.0,0.0,1568020.0,,,,,,4,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650011001,44223,12118,08:48:30,09:18:30,09:45:29,10:15:29
864,470650113113,470650114491,4.0,35.05489021461478,-85.07797182934382,35.06960730419759,-85.18232579720136,08:03:00,28980.0,08:03:00,POINT (-85.07797182934382 35.05489021461478),POINT (-85.18232579720136 35.06960730419759),10751.0,1469.0,35.05489021461478,-85.07797182934382,35.06960730419759,-85.18232579720136,10751.0,0.0,,,,,,,,,,,,,['WALK'],105.0,470650113113,90781,75999,07:33:00,08:03:00,08:27:29,08:57:29
865,470650113113,470650114491,4.0,35.05229710134052,-85.08053310146053,35.07151410561444,-85.17721211796245,06:18:30,22710.0,06:18:30,POINT (-85.08053310146053 35.05229710134052),POINT (-85.17721211796245 35.07151410561444),11577.0,1792.0,35.05229710134052,-85.08053310146053,35.07151410561444,-85.17721211796245,8704.0,0.0,958020.0,,,,,,3,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650113113,90781,75999,05:48:30,06:18:30,06:48:22,07:18:22
866,470650113113,470650114491,4.0,35.05396046649605,-85.07579637615976,35.067822255052214,-85.17721854594656,07:43:00,27780.0,07:43:00,POINT (-85.07579637615976 35.05396046649605),POINT (-85.17721854594656 35.067822255052214),11010.0,1522.0,35.05396046649605,-85.07579637615976,35.067822255052214,-85.17721854594656,11010.0,0.0,,,,,,,,,,,,,['WALK'],105.0,470650113113,90781,75999,07:13:00,07:43:00,08:08:22,08:38:22
868,470650113212,470650113252,1.0,35.00625775077628,-85.15307693899224,34.98675610114845,-85.13316096007891,07:09:00,25740.0,07:09:00,POINT (-85.15307693899224 35.00625775077628),POINT (-85.13316096007891 34.98675610114845),2902.0,669.0,35.00625775077628,-85.15307693899224,34.98675610114845,-85.13316096007891,2902.0,0.0,,,,,,,,,,,,,['WALK'],35.0,470650113212,159427,63372,06:39:00,07:09:00,07:20:09,07:50:09
869,470650104312,470650031002,70.0,35.16873419207159,-85.2337383558926,35.04943394977082,-85.31003971701219,09:10:00,33000.0,09:10:00,POINT (-85.2337383558926 35.16873419207159),POINT (-85.31003971701219 35.04943394977082),13949.0,1319.0,35.16873419207159,-85.2337383558926,35.04943394977082,-85.31003971701219,6698.0,0.0,1826020.0,,,,,,16,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650104312,78125,24308,08:40:00,09:10:00,09:31:59,10:01:59
870,470650104312,470650031002,70.0,35.17090043710827,-85.23844751666584,35.05208700013653,-85.3100287251335,08:48:45,31725.0,08:48:45,POINT (-85.23844751666584 35.17090043710827),POINT (-85.3100287251335 35.05208700013653),13665.0,1368.0,35.17090043710827,-85.23844751666584,35.05208700013653,-85.3100287251335,6242.0,0.0,1826020.0,,,,,,16,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650104312,78125,24308,08:18:45,08:48:45,09:11:33,09:41:33
871,470650104312,470650031002,70.0,35.16155167025029,-85.23342400631849,35.04746802018442,-85.30812071391878,07:38:15,27495.0,07:38:15,POINT (-85.23342400631849 35.16155167025029),POINT (-85.30812071391878 35.04746802018442),13277.0,1506.0,35.16155167025029,-85.23342400631849,35.04746802018442,-85.30812071391878,5632.0,0.0,1384020.0,,,,,,16,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650104312,78125,24308,07:08:15,07:38:15,08:03:21,08:33:21
872,470650104312,470650031002,70.0,35.16206265638122,-85.23746658127865,35.04929027890839,-85.30898741666464,09:37:00,34620.0,09:37:00,POINT (-85.23746658127865 35.16206265638122),POINT (-85.30898741666464 35.04929027890839),12803.0,1484.0,35.16206265638122,-85.23746658127865,35.04929027890839,-85.30898741666464,5208.0,0.0,1826020.0,,,,,,16,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650104312,78125,24308,09:07:00,09:37:00,10:01:44,10:31:44
